# Date:     2024-01-15 15:55:51
# Database: ocvs
# Target:   lmc_hb
# Query:    TRUE 
# Objects:  439
# Columns:
# ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	dP	T0	A	Ecc	Incl	Peri	Var	Model	S	C	Remarks
OGLE-LMC-HB-0141	RG	5.215558	-68.416778	-99.99	LMC110.4.24543	LMC510.17.45853	-99.99	15.068	16.814	1.746	469.12000000	0.14000000	9086.6000	0.070	0.2899	55.40	41.50	OSARG	1	0.013530	-0.000560	
OGLE-LMC-HB-0142	RG	5.216536	-70.712528	-99.99	LMC113.1.37	LMC502.15.27830	-99.99	16.016	17.461	1.445	276.30300000	0.06600000	9101.9000	0.050	0.2127	58.50	175.00	-99.99	1	0.013110	0.001130	
OGLE-LMC-HB-0143	RG	5.218478	-69.649028	-99.99	LMC112.4.123	LMC503.07.79142	OGLE-LMC-ECL-10158	16.341	18.035	1.694	225.08500000	0.03900000	9019.9000	0.058	0.3056	67.60	71.20	-99.99	1	0.008210	0.002340	
OGLE-LMC-HB-0144	RG	5.223497	-70.938306	-99.99	LMC114.3.158	LMC502.07.8773	-99.99	16.043	17.495	1.452	363.17000000	0.30000000	9318.4000	0.033	0.3700	81.80	135.20	-99.99	1	0.003140	0.000590	
OGLE-LMC-HB-0145	RG	5.225606	-68.696750	-99.99	LMC110.2.36230	LMC503.32.69604	-99.99	15.520	17.219	1.699	495.51000000	0.17000000	9380.1000	0.056	0.2870	75.00	40.50	-99.99	1	0.008030	0.003540	
OGLE-LMC-HB-0146	RG	5.225833	-68.938806	LMC_SC9_171994	LMC110.1.312	LMC503.32.40864	-99.99	16.584	18.079	1.495	180.04800000	0.02900000	9107.1000	0.036	0.2810	41.10	178.70	-99.99	1	0.010870	-0.003190	
OGLE-LMC-HB-0147	RG	5.228469	-68.951722	LMC_SC9_166100	LMC110.1.10688	LMC503.32.40832	-99.99	16.688	17.981	1.293	204.86200000	0.07100000	9028.0000	0.023	0.1380	51.80	179.80	ECL	0	0.008400	-0.000100	
OGLE-LMC-HB-0148	RG	5.228975	-71.658250	-99.99	-99.99	LMC501.24.2342	OGLE-LMC-ECL-30750	16.636	17.928	1.292	186.24500000	0.09800000	9014.5000	0.038	0.2800	54.50	56.90	-99.99	1	0.007900	-0.000500	
OGLE-LMC-HB-0149	RG	5.229894	-69.513750	LMC_SC9_109459	LMC111.1.9860	LMC503.15.12706	-99.99	15.592	17.145	1.553	306.27000000	0.11000000	9269.3000	0.029	0.1022	48.30	60.20	-99.99	1	0.012700	-0.002100	
OGLE-LMC-HB-0150	RG	5.231361	-69.790833	-99.99	LMC112.3.12737	LMC503.07.10072	EROS2-star lm009-4m-6298	15.913	17.172	1.259	180.00900000	0.02100000	9074.7700	0.059	0.2925	77.70	158.20	-99.99	1	0.008640	0.006060	
OGLE-LMC-HB-0151	RG	5.234681	-69.112278	LMC_SC9_250295	LMC111.3.61154	LMC503.24.28329	2MASS J05140485-6906441	14.940	16.638	1.698	368.29200000	0.04400000	9028.3600	0.148	0.2746	72.30	69.38	TEO	1	0.021840	0.008520	
OGLE-LMC-HB-0152	RG	5.244733	-70.278833	-99.99	LMC113.3.55987	LMC502.23.47959	2MASS J05144103-7016437	13.635	15.435	1.800	593.20000000	0.52000000	9492.1000	0.044	0.1517	54.50	147.60	TEO	1	0.014100	0.001700	
OGLE-LMC-HB-0153	RG	5.245056	-71.203389	-99.99	LMC114.1.10850	LMC501.31.24834	EROS2-star lm056-5m-9582	14.707	16.264	1.557	360.10000000	0.35000000	9259.2000	0.029	0.2420	32.70	123.40	-99.99	1	0.014900	-0.008300	
OGLE-LMC-HB-0154	MS	5.245644	-69.125944	-99.99	LMC111.3.73023	LMC503.23.91397	OGLE-LMC-ECL-10834	16.723	17.068	0.345	11.07484400	0.00003900	9002.3960	0.191	0.1229	89.90	68.70	ECL	0	0.041670	0.009370	
OGLE-LMC-HB-0155	RG	5.247197	-68.982778	LMC_SC9_372309	LMC111.4.66666	-99.99	-99.99	15.566	17.149	1.583	322.17000000	0.11000000	9059.3000	0.060	0.2609	64.30	149.70	-99.99	1	0.011140	0.001590	
OGLE-LMC-HB-0156	RG	5.247331	-68.755139	-99.99	LMC110.2.18888	LMC503.31.66290	-99.99	16.013	17.495	1.482	249.35500000	0.06000000	9160.4000	0.045	0.2863	62.10	24.90	-99.99	1	0.007960	0.001640	
OGLE-LMC-HB-0157	MS	5.247394	-69.085722	-99.99	LMC111.4.22579	LMC503.23.91256	OGLE-LMC-ECL-10876	15.840	15.786	-0.054	6.45023000	0.00007400	9003.0070	0.025	0.2760	52.30	160.10	ECL	0	0.005700	-0.000870	
OGLE-LMC-HB-0158	RG	5.247694	-69.589528	LMC_SC9_291832	LMC112.4.85258	LMC503.14.69459	-99.99	15.812	17.310	1.498	394.99700000	0.08700000	9046.9000	0.050	0.3663	81.10	36.30	-99.99	1	0.005000	0.002750	
OGLE-LMC-HB-0159	RG	5.251303	-69.511194	LMC_SC8_21352	LMC111.1.21424	LMC503.14.83048	-99.99	14.476	15.839	1.363	268.32900000	0.09000000	9244.8000	0.021	0.1238	65.00	58.80	-99.99	0	0.005670	0.001660	
OGLE-LMC-HB-0160	RG	5.251642	-69.352167	-99.99	LMC111.2.22931	LMC503.14.114582	OGLE-LMC-ECL-10992	16.265	17.651	1.386	255.70500000	0.06200000	9044.0000	0.047	0.3050	86.80	60.30	ECL	0	0.005600	0.001870	
OGLE-LMC-HB-0161	RG	5.259194	-69.056167	LMC_SC8_70594	LMC111.4.35042	LMC503.23.47687	-99.99	16.215	17.633	1.418	232.85200000	0.08200000	9222.1000	0.021	0.1400	63.00	38.80	-99.99	1	0.005790	0.002700	
OGLE-LMC-HB-0162	RG	5.266181	-69.325083	-99.99	LMC100.7.71417	LMC503.14.53789	OGLE-LMC-ECL-11356	15.543	16.679	1.136	295.19000000	0.22000000	9140.8000	0.014	0.2660	58.30	174.60	ECL	0	0.003030	0.000180	
OGLE-LMC-HB-0163	RG	5.270378	-69.718000	LMC_SC8_95352	LMC103.6.53292	LMC503.06.25387	OGLE-LMC-ECL-11458	15.435	17.128	1.693	425.97000000	0.15000000	9410.8000	0.032	0.2440	65.60	52.10	-99.99	1	0.005860	0.001370	
OGLE-LMC-HB-0164	MS	5.271661	-67.229306	-99.99	-99.99	LMC505.06.12632	OGLE-LMC-ECL-31109	15.543	15.386	-0.157	4.72010000	0.00015000	9002.5600	0.014	0.3500	40.00	150.00	ECL	0	0.003200	-0.001080	
OGLE-LMC-HB-0165	RG	5.272861	-69.043611	LMC_SC8_254091	LMC100.5.99	LMC503.23.47709	-99.99	15.748	17.313	1.565	514.41000000	0.20000000	9298.0000	0.036	0.4370	63.30	161.90	-99.99	1	0.003430	0.001130	
OGLE-LMC-HB-0166	RG	5.273675	-67.883833	-99.99	LMC102.5.50	LMC504.23.18072	OGLE-LMC-ECL-11523	15.931	17.402	1.471	482.86000000	0.23000000	9287.8000	0.030	0.5130	65.70	65.60	-99.99	1	0.001590	0.000130	
OGLE-LMC-HB-0167	MS	5.273725	-69.482000	LMC_SC8_211874	LMC100.8.138	LMC503.13.85800	[BE74] 232	15.065	15.312	0.247	242.67000000	0.05900000	9056.6000	0.038	0.1520	21.32	22.30	OSARG/ECL	0	0.032300	-0.024700	
OGLE-LMC-HB-0168	RG	5.274097	-67.648639	-99.99	-99.99	LMC504.31.3862	MACHO 16.5887.21	15.371	17.110	1.739	495.61000000	0.42000000	9216.1000	0.046	0.3780	89.00	102.90	OSARG	1	0.004060	0.002190	
OGLE-LMC-HB-0169	RG	5.274631	-69.523833	LMC_SC8_205189	LMC100.8.322	LMC503.13.85866	MACHO 78.5859.195	15.916	17.361	1.445	237.80800000	0.05300000	9095.7000	0.029	0.2690	49.00	178.10	-99.99	1	0.007640	-0.001000	
OGLE-LMC-HB-0170	RG	5.274631	-68.991083	LMC_SC8_259609	LMC100.5.64296	-99.99	-99.99	15.644	17.288	1.644	413.19000000	0.33000000	9189.3000	0.035	0.2990	67.90	64.70	-99.99	1	0.005160	0.001820	
OGLE-LMC-HB-0171	RG	5.277161	-69.510972	LMC_SC8_205089	LMC100.8.17735	LMC503.13.85711	-99.99	14.203	15.642	1.439	468.38000000	0.19000000	9173.1000	0.025	0.4120	83.20	85.30	-99.99	1	0.001910	0.000600	
OGLE-LMC-HB-0172	RG	5.280833	-69.179833	LMC_SC8_242661	LMC100.6.16855	LMC503.22.72076	2MASS J05165101-6910473	15.205	16.900	1.695	421.70100000	0.08000000	9329.1000	0.049	0.2682	61.40	104.00	OSARG	1	0.009250	0.000880	
OGLE-LMC-HB-0173	RG	5.281367	-69.014000	LMC_SC8_259589	LMC100.5.79446	LMC503.22.103041	MACHO 79.5867.522	15.945	17.496	1.551	277.49000000	0.06100000	9052.7000	0.039	0.1061	50.40	30.20	-99.99	1	0.015600	-0.002100	
OGLE-LMC-HB-0174	RG	5.283594	-69.963250	-99.99	LMC103.7.10016	LMC502.30.61076	-99.99	16.193	17.712	1.519	328.43000000	0.21000000	9312.3000	0.023	0.2550	64.90	113.20	-99.99	1	0.004240	0.001530	
OGLE-LMC-HB-0175	RG	5.286636	-68.171611	-99.99	LMC102.7.90	LMC504.13.33130	-99.99	15.425	17.105	1.680	546.06000000	0.34000000	9252.7000	0.025	0.3880	69.40	0.30	-99.99	1	0.003070	0.002080	
OGLE-LMC-HB-0176	RG	5.287600	-69.433861	LMC_SC8_312333	LMC100.8.91732	LMC503.13.36147	MACHO 78.5981.185	16.183	17.390	1.207	207.50700000	0.06200000	9106.6000	0.025	0.1370	88.80	124.50	-99.99	1	0.005480	0.002700	
OGLE-LMC-HB-0177	RG	5.287894	-70.626222	-99.99	LMC104.8.33810	LMC502.13.11936	-99.99	15.344	17.033	1.689	613.02000000	0.24000000	9121.4000	0.053	0.3860	76.30	60.80	-99.99	1	0.004770	0.001120	
OGLE-LMC-HB-0178	RG	5.288494	-70.556694	-99.99	LMC104.7.15777	LMC502.13.18496	-99.99	15.765	17.267	1.502	313.41000000	0.15000000	9177.1000	0.024	0.3250	55.50	135.00	-99.99	1	0.004100	0.000060	
OGLE-LMC-HB-0179	RG	5.288561	-70.619028	-99.99	LMC104.8.40822	LMC502.13.11938	EROS2-star lm057-0k-24951	15.126	16.635	1.509	469.90000000	0.30000000	9036.8000	0.030	0.3330	65.50	63.20	-99.99	1	0.004000	0.000870	
OGLE-LMC-HB-0180	RG	5.290172	-67.030278	-99.99	-99.99	LMC505.13.156	OGLE-LMC-ECL-31330	16.338	17.613	1.275	247.08000000	0.14000000	9109.1000	0.045	0.4320	72.20	52.40	ECL	0	0.003460	0.001270	
OGLE-LMC-HB-0181	RG	5.291711	-69.517667	LMC_SC7_47323	LMC100.8.36044	LMC503.13.17215	-99.99	15.381	17.128	1.747	462.72000000	0.21000000	9242.2000	0.033	0.1327	55.90	43.30	OSARG	1	0.010660	0.001070	
OGLE-LMC-HB-0182	RG	5.293911	-69.813444	LMC_SC7_6479	LMC103.6.24693	LMC503.05.11227	-99.99	15.467	17.036	1.569	297.17900000	0.04400000	9037.2000	0.054	0.3188	68.90	145.50	-99.99	1	0.007450	0.002700	
OGLE-LMC-HB-0183	RG	5.294403	-69.182667	LMC_SC7_86345	LMC100.6.34065	LMC503.22.14206	-99.99	15.517	17.151	1.634	392.50000000	0.22000000	9384.9000	0.018	0.1650	58.50	176.60	-99.99	1	0.005520	0.001020	
OGLE-LMC-HB-0184	RG	5.295378	-70.507250	-99.99	LMC104.7.46890	LMC502.22.41	-99.99	15.694	17.294	1.600	381.13000000	0.23000000	9017.2000	0.030	0.2410	62.40	164.90	-99.99	1	0.006500	0.002930	
OGLE-LMC-HB-0185	MS	5.295783	-69.627667	LMC_SC7_30350	LMC103.5.30548	-99.99	OGLE-LMC-ECL-12035	16.482	16.925	0.443	31.19359000	0.00026000	9004.5840	0.185	0.5672	64.50	73.60	ECL	0	0.007070	-0.000590	
OGLE-LMC-HB-0186	MS	5.295853	-69.721306	-99.99	LMC103.6.78707	LMC503.05.26668	-99.99	14.136	14.044	-0.092	12.64554000	0.00025000	9008.8270	0.018	0.4820	35.30	131.30	-99.99	1	0.003020	-0.001570	
OGLE-LMC-HB-0187	RG	5.296203	-69.485889	LMC_SC7_47362	LMC100.8.36081	LMC503.13.17252	OGLE-LMC-ECL-12055	15.233	16.897	1.664	458.97600000	0.06700000	9235.8000	0.059	0.3264	56.50	100.70	OSARG	1	0.010140	0.000500	
OGLE-LMC-HB-0188	RG	5.302825	-70.353306	-99.99	LMC104.6.49474	LMC502.21.43786	-99.99	15.538	17.213	1.675	392.97500000	0.08400000	9295.4000	0.057	0.3166	59.10	25.90	-99.99	1	0.009430	0.002430	
OGLE-LMC-HB-0189	RG	5.304075	-70.630944	-99.99	LMC104.8.48049	LMC502.12.36222	-99.99	16.133	17.600	1.467	276.30000000	0.11000000	9221.2000	0.030	0.2720	58.20	114.60	-99.99	1	0.005860	0.000190	
OGLE-LMC-HB-0190	RG	5.304339	-70.121306	-99.99	LMC103.8.15850	LMC502.29.50438	-99.99	15.871	17.357	1.486	269.91600000	0.05400000	9072.0000	0.057	0.2999	89.10	141.50	ECL	1	0.007320	0.003080	
OGLE-LMC-HB-0191	RG	5.305206	-69.130889	-99.99	LMC100.6.119403	LMC503.21.89773	-99.99	15.566	17.320	1.754	462.61000000	0.28000000	9094.4000	0.028	0.1760	67.80	67.30	-99.99	1	0.006330	0.001740	
OGLE-LMC-HB-0192	RG	5.305294	-70.295167	-99.99	LMC104.6.57561	LMC502.21.51427	-99.99	15.768	17.222	1.454	795.53000000	0.83000000	9549.9000	0.024	0.5590	68.00	72.50	-99.99	1	0.000950	0.000630	
OGLE-LMC-HB-0193	RG	5.309575	-69.759167	LMC_SC7_126920	LMC103.6.93463	LMC503.04.92343	-99.99	15.609	16.960	1.351	279.61600000	0.04600000	9116.6000	0.045	0.2272	63.10	16.00	-99.99	1	0.009920	0.003170	
OGLE-LMC-HB-0194	MS	5.311028	-69.543222	-99.99	LMC100.8.54192	LMC503.12.73694	OGLE-LMC-ECL-12444	15.515	15.412	-0.103	11.95267000	0.00020000	9005.8800	0.025	0.5110	31.70	5.00	ECL	0	0.002820	-0.001330	
OGLE-LMC-HB-0195	RG	5.313614	-69.638694	LMC_SC7_262916	LMC103.5.47365	LMC503.04.109567	-99.99	15.664	17.466	1.802	530.79000000	0.23000000	9130.3000	0.036	0.3339	63.80	177.70	-99.99	1	0.005830	0.002400	
OGLE-LMC-HB-0196	RG	5.314192	-70.045056	-99.99	LMC103.8.58342	LMC502.29.60649	-99.99	15.995	17.468	1.473	420.02000000	0.50000000	9161.9000	0.015	0.2070	60.00	44.10	-99.99	1	0.003500	0.001040	
OGLE-LMC-HB-0197	RG	5.314458	-69.497528	LMC_SC7_286794	LMC100.8.54592	LMC503.12.89757	-99.99	16.511	18.023	1.512	232.87400000	0.06700000	9023.0000	0.034	0.1810	59.00	46.20	-99.99	1	0.008730	0.000710	
OGLE-LMC-HB-0198	RG	5.315517	-69.438250	LMC_SC7_295270	LMC100.8.129527	LMC503.12.108171	-99.99	15.881	17.598	1.717	313.26000000	0.13000000	9182.2000	0.027	0.1870	81.70	62.20	-99.99	1	0.005070	0.001570	
OGLE-LMC-HB-0199	RG	5.317692	-69.654611	LMC_SC7_262889	LMC103.5.47406	LMC503.04.49614	-99.99	15.426	17.174	1.748	397.70700000	0.05200000	9057.5000	0.098	0.3219	89.60	88.70	OSARG	1	0.011120	0.004600	
OGLE-LMC-HB-0200	RG	5.317911	-69.318167	LMC_SC7_311552	LMC100.2.71081	LMC503.12.57540	2MASS J05190448-6919053	15.001	16.580	1.579	439.93000000	0.14000000	9049.4000	0.045	0.2270	60.50	123.10	-99.99	1	0.009790	0.001260	
OGLE-LMC-HB-0201	RG	5.320567	-69.854778	LMC_SC7_239705	LMC103.2.50765	LMC503.04.13750	-99.99	15.028	15.887	0.859	98.56960000	0.00730000	9046.3700	0.034	0.2899	66.70	150.40	-99.99	1	0.005530	0.001730	
OGLE-LMC-HB-0202	RG	5.320756	-69.876944	-99.99	LMC103.2.50842	LMC503.04.192	-99.99	15.683	17.139	1.456	279.81000000	0.07200000	9052.6000	0.042	0.3076	63.40	146.90	ECL	1	0.006480	0.000520	
OGLE-LMC-HB-0203	RG	5.322150	-69.665639	LMC_SC7_262876	LMC103.4.131	LMC503.04.49587	-99.99	15.663	17.329	1.666	583.24000000	0.17000000	9055.7000	0.051	0.4926	57.50	139.40	-99.99	1	0.003700	0.000650	
OGLE-LMC-HB-0204	RG	5.323994	-70.320000	-99.99	LMC104.3.37420	LMC502.21.14472	-99.99	16.505	17.815	1.310	165.76500000	0.04900000	9159.4000	0.031	0.3010	88.80	71.60	-99.99	1	0.003790	0.000970	
OGLE-LMC-HB-0205	RG	5.324267	-69.243306	LMC_SC7_318622	LMC100.3.59	LMC503.21.86	2MASS J05192735-6914358	15.570	17.089	1.519	327.31300000	0.03000000	9200.8300	0.106	0.3002	60.54	163.43	-99.99	0	0.018950	0.002530	
OGLE-LMC-HB-0206	RG	5.327150	-70.023611	-99.99	LMC103.1.38344	LMC502.29.19234	-99.99	15.476	17.022	1.546	437.99000000	0.46000000	9079.7000	0.017	0.3820	45.60	11.00	-99.99	1	0.002940	-0.000480	
OGLE-LMC-HB-0207	MS	5.327311	-69.651306	LMC_SC7_380073	LMC103.4.182	LMC503.04.49620	-99.99	15.920	15.813	-0.107	6.70987600	0.00003100	9002.6830	0.037	0.3800	57.40	41.80	TEO	1	0.004740	0.000550	
OGLE-LMC-HB-0208	RG	5.328472	-68.263222	-99.99	LMC102.1.67	LMC504.12.5752	OGLE-LMC-ECL-31802	15.691	17.291	1.600	792.11000000	0.39000000	9629.7000	0.042	0.5650	63.10	57.80	TEO	1	0.001700	0.000580	
OGLE-LMC-HB-0209	RG	5.334208	-69.382306	LMC_SC6_93671	LMC100.2.18944	LMC503.11.107564	EROS2-star lm001-0l-26945	15.219	16.785	1.566	349.88400000	0.06000000	9231.1000	0.048	0.2642	59.50	109.20	TEO	1	0.009430	-0.000250	
OGLE-LMC-HB-0210	RG	5.337053	-69.381444	LMC_SC6_93672	LMC100.2.18964	LMC503.11.107565	-99.99	15.266	16.730	1.464	454.63100000	0.04700000	9117.2000	0.074	0.4211	69.50	165.90	-99.99	1	0.007100	0.000770	
OGLE-LMC-HB-0211	RG	5.337392	-70.680222	LMC_SC21_12034	LMC104.1.6265	LMC502.11.36170	-99.99	16.134	17.718	1.584	365.42000000	0.12000000	9154.8000	0.030	0.3420	63.80	59.20	-99.99	1	0.003930	0.000090	
OGLE-LMC-HB-0212	RG	5.343353	-70.012889	LMC_SC6_5613	LMC103.1.48680	LMC502.28.64396	MACHO 78.6457.22	14.477	15.847	1.370	319.01100000	0.09900000	9253.4000	0.033	0.1852	70.80	48.60	-99.99	1	0.006860	0.002720	
OGLE-LMC-HB-0213	RG	5.344650	-70.828556	LMC_SC21_57061	LMC105.4.6030	LMC502.11.24933	-99.99	16.227	17.510	1.283	207.73600000	0.03900000	9001.9000	0.041	0.3030	59.60	148.70	-99.99	1	0.007020	0.000740	
OGLE-LMC-HB-0214	RG	5.345067	-69.950639	LMC_SC6_135678	LMC103.2.12596	LMC502.28.76914	-99.99	14.609	15.366	0.757	168.41300000	0.02200000	9116.0600	0.026	0.4170	41.10	85.40	-99.99	1	0.006010	-0.001810	
OGLE-LMC-HB-0215	RG	5.345478	-69.358278	LMC_SC6_214266	LMC100.2.19021	LMC503.11.125728	-99.99	15.444	16.719	1.275	256.65100000	0.04400000	9216.8000	0.021	0.4860	51.90	98.10	-99.99	1	0.002050	0.000460	
OGLE-LMC-HB-0216	RG	5.346617	-69.200361	LMC_SC6_236324	LMC100.3.32386	LMC503.20.14015	-99.99	15.738	17.310	1.572	443.99000000	0.10000000	9008.0000	0.049	0.4102	81.30	114.70	-99.99	1	0.003730	0.000550	
